kmeans,wall_time,cpuconsumptiontime,cpu_eff,IObytesRead,IObytesReadRate,IOcharRead,timeStageOut,workDirSize,dbTime,maxrss,maxvmem
131,1099.9,301.1,0.278379158,2133.1268,3597.5365999999995,1196.9006,70.9,601.5896260000001,7.9350000000000005,815.1376,3093.4004
132,1091.5,131.0,0.12047853,1315.102,1542.8995,810.481,18.5,601.1412479999999,355.14,829.1320000000001,2174.944
133,723.8181818181819,233.9090909090909,0.3241923372727273,1940.4156363636364,4606.121454545456,958.7346363636364,48.09090909090909,601.3857060000001,12.302727272727275,786.2796363636364,3088.0989090909093
134,481.0,169.83333333333334,0.35398570333333335,1923.3393333333333,7962.897833333333,1027.472,28.5,7.562581333333333,9.265,772.6273333333334,2175.4646666666667
135,710.6363636363636,228.63636363636363,0.3232253272727273,1598.5265454545456,3780.742272727273,915.5263636363637,37.36363636363637,603.1416856363637,35.480000000000004,821.752,3115.3963636363637
136,2393.6666666666665,227.83333333333334,0.09609713349999999,1328.5033333333333,4779.187666666666,911.0916666666667,41.666666666666664,603.3892693333333,8.718333333333332,825.6826666666667,3052.0966666666664
137,394.5,173.9,0.440898999,1398.7099999999998,7469.414,784.3909000000001,25.5,7.3863168,7.763,817.688,2175.4304
138,438.6,184.8,0.42232722,2107.5392,8779.8258,1097.2998,34.2,7.3793536,6.878,805.232,2176.8648000000003
139,1804.3076923076924,324.7692307692308,0.18158032384615386,1924.0076923076922,2996.241384615384,986.6348461538461,77.46153846153847,606.5913859999999,8.30923076923077,820.8846153846154,3107.2818461538454
140,740.8235294117648,250.0,0.33968929294117656,1752.5079999999996,4584.534823529411,861.372294117647,40.705882352941174,601.3679758235294,8.256470588235295,822.371294117647,3077.1051764705885
141,713.6666666666666,192.5,0.2702539733333333,1548.866,3426.8965000000003,918.7906666666668,32.333333333333336,605.9115823333333,55.1,801.9686666666666,2180.2459999999996
142,516.0,150.1,0.292804698,1411.3588,7362.528600000001,781.5080999999999,26.5,7.9491071999999985,7.525999999999999,825.0992,2175.4044
143,2372.3333333333335,260.0,0.11384654533333333,1906.6266666666668,4557.619333333333,964.7413333333334,40.333333333333336,611.9052643333333,6.93,855.1533333333333,3217.7106666666664
144,805.0,169.0,0.20993789,2082.628,4913.85,1529.178,42.0,609.740889,6.79,1045.432,3296.36
145,4207.0,206.0,0.04896601,2998.812,919.396,1287.425,216.0,618.304205,35.38,1076.74,3541.92
146,537.5,194.08333333333334,0.36337525416666666,1341.4496666666664,5322.497833333334,905.9699999999999,32.0,7.605930666666667,8.966666666666667,832.6186666666667,3122.52
147,566.3333333333334,200.0,0.35414573,1417.1266666666668,5472.440666666666,780.514,33.666666666666664,7.610368,9.11,909.4119999999999,3312.7053333333333
148,717.5,187.5,0.262003925,2145.182,8024.655000000001,1447.1845,28.0,604.3693484999999,6.065,794.0540000000001,2174.692
149,501.44444444444446,212.0,0.42512832,1366.3862222222222,5451.9584444444445,936.5617777777778,30.88888888888889,7.442887111111111,5.043333333333333,828.3293333333332,2176.345333333333
150,2251.6,155.2,0.0729808477,1971.554,1306.8565,1020.5689,52.0,607.5315217,40.921,844.2023999999999,3211.0091999999995
151,1054.55,254.35,0.24342741499999992,1876.4068,5091.753350000001,924.6041500000001,41.7,605.9445526500001,8.905000000000001,814.9083999999997,3083.8161999999993
152,771.0714285714286,213.78571428571428,0.2797210221428571,1426.6388571428572,5244.118285714285,837.433,39.785714285714285,605.2011456428572,5.565714285714286,828.4485714285713,3117.4660000000003
153,451.3333333333333,166.33333333333334,0.36885092999999997,2398.037333333333,9818.757666666666,1388.576,33.0,7.316821333333333,6.3933333333333335,793.564,3164.972
154,1329.8,224.4,0.174424884,2287.3408,2766.9998,1455.5756000000001,68.6,601.6542223999999,9.193999999999999,886.9695999999998,3310.5816
155,1169.0,242.5,0.219420975,2788.122,4838.092,1493.998,48.0,602.576395,7.050000000000001,848.836,3276.822
156,861.5,223.66666666666666,0.26081988333333334,2052.5026666666668,4976.327,1126.9016666666666,41.833333333333336,608.7591586666666,13.23166666666667,813.0419999999999,2892.4926666666665
157,859.0,230.44444444444446,0.2724910333333333,1881.3004444444446,4263.282,949.4389999999999,42.55555555555556,607.6211326666667,11.947777777777778,887.6551111111111,3295.0528888888884
158,7006.0,224.0,0.031972595,1319.584,732.387,990.33,461.0,606.572771,12.87,917.712,3309.808
159,1139.3333333333333,146.33333333333334,0.12843917666666668,1478.4733333333334,8213.130666666666,901.9986666666667,23.333333333333332,21.27872,3.8366666666666673,751.8786666666666,2180.4706666666666
160,2843.25,298.25,0.109707848875,1982.4035,1014.075625,1053.78675,62.625,607.603043125,59.338750000000005,831.266,3150.0905
161,697.9047619047619,245.0,0.3518554538095238,1873.3337142857144,5210.860952380953,925.0389523809523,48.0,602.5203837142857,7.343333333333331,803.8676190476193,2833.575238095238
