pandaid,IObytesRead,IObytesReadRate,IObytesWriteRate,IObytesWritten,actualcorecount,assignedpriority,avgpss,avgrss,avgvmem,cpu_eff,cpuconsumptiontime,currentpriority,dbTime,failedattempt,hs06sec,inputfilebytes,maxcpucount,maxdiskcount,maxpss,maxrss,maxvmem,minramcount,nevents,outputfilebytes,queue_time,timeExe,timeStageIn,timeStageOut,wall_time,workDirSize,computingsite,jobstatus
4051879196,3154076.0,8776559.0,119941.0,43104.0,1.0,1100,1505855.0,1514853.0,2989109.0,0.66986567,349,1100,19.45,0,5684,17023008,0,406,2655736.0,2665640.0,4514832.0,2823,13,40237480,5560,403,5,19,521,5464064.0,INFN-T1-CINECA-SL7_UCORE,finished
4051879202,3507540.0,4834079.0,95972.0,69636.0,1.0,1100,1698670.0,1711902.0,3302975.0,0.6977492,651,1100,38.41,0,10179,38583300,0,465,2725300.0,2735328.0,4613212.0,2823,30,71024485,5576,843,5,17,933,52737020.0,INFN-T1-CINECA-SL7_UCORE,finished
4051879214,3287816.0,7811423.0,146277.0,61568.0,1.0,1100,1642118.0,1651159.0,3201967.0,0.6683673000000001,393,1100,30.31,0,6415,28462040,0,437,2621199.0,2631060.0,4574368.0,2823,23,56189164,4835,463,6,21,588,5505024.0,INFN-T1-CINECA-SL7_UCORE,finished
4051879222,3101592.0,6468493.0,132682.0,63620.0,1.0,1100,1582216.0,1591176.0,3063184.0,0.6502311,422,1100,18.28,0,7080,34819464,0,455,2663401.0,2673332.0,4548996.0,2823,28,65235493,4863,543,5,17,649,5558272.0,INFN-T1-CINECA-SL7_UCORE,finished
4051879301,1360400.0,2272511.0,128566.0,76964.0,1.0,1100,1509619.0,1612897.0,3118136.0,0.5667718,539,1100,13.31,0,9642,34506176,0,454,2628409.0,2752944.0,4540976.0,2823,27,63616407,1802,663,26,99,951,71113280.0,TW-FTT_SL6,finished
4051879310,2750704.0,3282891.0,131449.0,110140.0,1.0,1100,2005787.0,2012981.0,3404942.0,0.7421384,826,1100,14.11,0,11285,55561864,0,513,2993264.0,3001252.0,4668432.0,2823,43,93538878,2112,883,28,113,1113,61743480.0,TW-FTT_SL6,finished
4051879315,2725604.0,5684355.0,127384.0,61080.0,1.0,1100,1781120.0,1788778.0,3251367.0,0.63297874,476,1100,13.56,0,7625,24924336,0,428,2833820.0,2841996.0,4599440.0,2823,20,50782332,2115,533,26,106,752,13922180.0,TW-FTT_SL6,finished
4051879365,2638340.0,2319021.0,123319.0,140300.0,1.0,1100,1520626.0,1558713.0,3113124.0,0.39575437,522,1100,170.66,0,22264,27853460,0,436,2681614.0,2756608.0,4530532.0,2823,22,55564449,2172,1228,15,23,1319,14120139.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879368,2482308.0,2069937.0,69725.0,83616.0,1.0,1100,1557175.0,1573399.0,3005729.0,0.35956678,498,1100,70.82,0,23378,34782896,0,455,2741924.0,2751760.0,4530400.0,2823,28,63335703,2173,1258,14,22,1385,15580442.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879380,2721900.0,2394523.0,71993.0,81836.0,1.0,1100,1612444.0,1645315.0,3146095.0,0.44124338,582,1100,209.89,0,22264,33921052,0,453,2760856.0,2770552.0,4605708.0,2823,27,64165913,2235,1228,14,25,1319,14241739.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879390,2587880.0,3074233.0,116027.0,97672.0,1.0,1100,1696838.0,1705166.0,3153600.0,0.6186366999999999,717,1100,33.14,0,12644,36622088,0,460,2689949.0,2698860.0,4601172.0,2823,29,67148523,5757,903,15,116,1159,11964664.0,INFN-T1_UCORE,finished
4051879392,3259604.0,2077059.0,39351.0,61756.0,1.0,1100,1634935.0,1643225.0,3112276.0,0.6022883000000001,1316,1100,82.64,0,23838,31489824,0,446,2676053.0,2684920.0,4522836.0,2823,25,60096918,5771,1674,29,273,2185,14893280.0,INFN-T1_UCORE,finished
4051879425,3132356.0,4019464.0,87776.0,68404.0,1.0,1100,1427272.0,1435096.0,2712324.0,0.58034027,614,1100,22.64,0,11542,32170868,0,448,2652970.0,2661884.0,4491076.0,2823,26,60030454,5151,853,16,104,1058,5566464.0,INFN-T1_UCORE,finished
4051879431,2659672.0,4028852.0,95431.0,63000.0,1.0,1100,1621474.0,1629595.0,3069336.0,0.6069651999999999,610,1100,28.94,0,10964,27225320,0,434,2684618.0,2693544.0,4541664.0,2823,22,54400463,5167,743,15,149,1005,21336856.0,INFN-T1_UCORE,finished
4051879460,2373300.0,2201321.0,124271.0,133980.0,1.0,1100,1391098.0,1450229.0,2986181.0,0.34786054,439,1100,273.21,0,21302,18540724,0,410,2622171.0,2721612.0,4585692.0,2823,15,41549003,2263,1147,14,23,1262,11933516.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879473,2448368.0,2266843.0,56814.0,61364.0,1.0,1100,1507194.0,1557513.0,3090278.0,0.38834217,513,1100,216.72,0,22298,26628172,0,432,2615596.0,2688692.0,4610424.0,2823,21,54338521,2292,1178,16,57,1321,14167079.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879496,2933572.0,2042133.0,148851.0,213828.0,1.0,1100,1747056.0,1756320.0,3200306.0,0.32781065,554,1100,338.91,0,28527,30125692,0,442,2898805.0,2908360.0,4576616.0,2823,24,57681284,2345,1550,18,27,1690,30548356.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879499,2573840.0,3064665.0,300998.0,252792.0,1.0,1100,1443242.0,1479368.0,2717782.0,0.4049505,409,1100,184.39,0,17048,14903096,0,400,2779209.0,2860408.0,4497976.0,2823,12,36795271,2349,936,16,22,1010,11950280.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879565,2062060.0,3818353.0,336123.0,181520.0,1.0,1100,1490357.0,1570733.0,3083405.0,0.57158965,507,1100,17.96,0,10529,35891532,0,458,2570765.0,2709052.0,4501060.0,2823,29,65967180,1496,603,24,154,887,5882472.0,Taiwan-LCG2,finished
